source,target,count
Harvard,Credit Suisse,1
Harvard,Credit Suisse,1
Ivey Business School at Western University,Credit Suisse,1
Lehigh,Credit Suisse,1
NYU Stern,Credit Suisse,1
Stanford,Credit Suisse,1
University of Notre Dame ,Credit Suisse,1
University of Notre Dame ,Credit Suisse,1
UPenn,Credit Suisse,1
UPenn,Credit Suisse,1
UVA,Credit Suisse,1
Yale,Credit Suisse,1
Credit Suisse,MDP,1
Credit Suisse,Advent,1
Credit Suisse,Silverlake,1
Credit Suisse,Silverlake,1
Credit Suisse,Bridge Growth Partners,1
Credit Suisse,EQT Partners,1
Credit Suisse,MDP,1
Credit Suisse,GTCR,1
Credit Suisse,Warburg Pincus,1
Credit Suisse,Silverlake,1
Credit Suisse,Silverlake,1
Credit Suisse,EQT Partners,1
