source,target,count
Brigham Young University,J.P. Morgan,1
Columbia,J.P. Morgan,1
Cornell,J.P. Morgan,1
Miami University,J.P. Morgan,1
Northern Illinois University,J.P. Morgan,1
NYU Stern,J.P. Morgan,1
Princeton,J.P. Morgan,1
Rice University,J.P. Morgan,1
Rutgers,J.P. Morgan,1
UChicago,J.P. Morgan,1
University of Illinois,J.P. Morgan,1
University of Notre Dame ,J.P. Morgan,1
"University of Wisconsin, Madison",J.P. Morgan,1
UPenn,J.P. Morgan,1
UPenn,J.P. Morgan,1
William & Mary,J.P. Morgan,1
J.P. Morgan,Warburg Pincus,1
J.P. Morgan,Warburg Pincus,1
J.P. Morgan,Bain Capital,1
J.P. Morgan,MDP,1
J.P. Morgan,GTCR,1
J.P. Morgan,CVC Capital Partners,1
J.P. Morgan,Warburg Pincus,1
J.P. Morgan,MDP,1
J.P. Morgan,GTCR,1
J.P. Morgan,CVC Capital Partners,1
J.P. Morgan,GTCR,1
J.P. Morgan,GTCR,1
J.P. Morgan,Chicago Pacific Founders,1
J.P. Morgan,Bain Capital,1
J.P. Morgan,Silverlake,1
J.P. Morgan,EQT Partners,1
