source,target,count
Boston College,Morgan Stanley,1
College of William & Mary,Morgan Stanley,1
Georgetown,Morgan Stanley,1
Harvard,Morgan Stanley,1
Harvard,Morgan Stanley,1
Ivey Business School at Western University,Morgan Stanley,1
Johns Hopkins,Morgan Stanley,1
Princeton,Morgan Stanley,1
UC Berkley,Morgan Stanley,1
UChicago,Morgan Stanley,1
University of Waterloo,Morgan Stanley,1
UPenn,Morgan Stanley,1
USC,Morgan Stanley,1
Wellesley,Morgan Stanley,1
Willams College,Morgan Stanley,1
Morgan Stanley,GTCR,1
Morgan Stanley,Vista Equity Partners,1
Morgan Stanley,Bain Capital,1
Morgan Stanley,Silverlake,1
Morgan Stanley,Silverlake,1
Morgan Stanley,Warburg Pincus,1
Morgan Stanley,Bain Capital,1
Morgan Stanley,Vista Equity Partners,1
Morgan Stanley,Silverlake,1
Morgan Stanley,Warburg Pincus,1
Morgan Stanley,Apax Capital,1
Morgan Stanley,Duetto,1
Morgan Stanley,EQT Partners,1
Morgan Stanley,Advent,1
Morgan Stanley,GTCR,1
